Symbol,Name,Last Sale,Net Change,% Change,Market Cap
GM,General Motors Company Common Stock,$57.05,0.90,1.603%,"82,760,773,134"
HCA,"HCA Healthcare, Inc. Common Stock",$249.25,0.35,0.141%,"82,415,883,375"
TJX,"TJX Companies, Inc. (The) Common Stock",$67.48,0.98,1.474%,"81,413,755,311"
BP,BP p.l.c. Common Stock,$23.91,0.80,3.462%,"80,673,599,268"
BAM,Brookfield Asset Management Inc. Common Stock,$50.97,1.79,3.64%,"80,410,438,468"
CI,Cigna Corporation Common Stock,$233.57,1.55,0.668%,"80,021,082,000"
FDX,FedEx Corporation Common Stock,$298.35,0.33,0.111%,"79,763,345,017"
DUK,Duke Energy Corporation (Holding Company) Common Stock,$103.16,-0.58,-0.559%,"79,352,627,501"
PNC,"PNC Financial Services Group, Inc. (The) Common Stock",$184.87,3.27,1.801%,"78,543,562,980"
PTR,PetroChina Company Limited Common Stock,$42.86,0.74,1.757%,"78,442,791,085"
ENB,Enbridge Inc Common Stock,$38.60,0.66,1.74%,"78,187,248,461"
MELI,"MercadoLibre, Inc. Common Stock",$1550.17,8.02,0.52%,"77,279,569,344"
COP,ConocoPhillips Common Stock,$57.02,2.55,4.681%,"76,943,840,247"
SNOW,Snowflake Inc. Class A Common Stock,$259.30,3.03,1.182%,"76,778,730,000"
NIO,"NIO Inc. American depositary shares, each  representing one Class A ordinary share",$46.77,2.60,5.886%,"76,633,491,958"
CB,Chubb Limited  Common Stock,$169.42,1.75,1.044%,"76,186,577,217"
CME,CME Group Inc. Class A Common Stock,$212.00,3.42,1.64%,"76,128,602,160"
NTES,"NetEase, Inc. American Depositary Shares",$113.04,-0.18,-0.159%,"75,847,655,841"
BNS,Bank Nova Scotia Halifax Pfd 3 Ordinary Shares,$62.11,0.86,1.404%,"75,392,596,160"
SHW,Sherwin-Williams Company (The) Common Stock,$281.83,0.59,0.21%,"74,952,576,050"
BX,The Blackstone Group Inc. Common Stock,$105.79,1.95,1.878%,"74,553,058,963"
TFC,Truist Financial Corporation Common Stock,$55.28,1.21,2.238%,"73,786,085,600"
CNI,Canadian National Railway Company Common Stock,$104.22,1.92,1.877%,"73,783,632,680"
COF,Capital One Financial Corporation Common Stock,$163.21,5.23,3.311%,"73,687,575,671"
DELL,Dell Technologies Inc. Class C Common Stock ,$96.21,0.84,0.881%,"73,474,630,197"
EQIX,"Equinix, Inc. Common Stock REIT",$819.76,-12.89,-1.548%,"73,434,023,743"
FISV,"Fiserv, Inc. Common Stock",$110.04,1.20,1.103%,"72,821,102,795"
ITW,Illinois Tool Works Inc. Common Stock,$229.35,0.26,0.113%,"72,447,704,584"
MMC,"Marsh & McLennan Companies, Inc. Common Stock",$142.39,0.69,0.487%,"72,409,860,943"
ABB,ABB Ltd Common Stock,$35.84,0.72,2.05%,"71,894,823,132"
CSX,CSX Corporation Common Stock,$31.57,0.39,1.251%,"71,733,374,457"
BDX,"Becton, Dickinson and Company Common Stock",$246.35,-0.65,-0.263%,"71,643,138,460"
MCO,Moody's Corporation Common Stock,$379.00,1.69,0.448%,"70,948,800,000"
ATVI,"Activision Blizzard, Inc. Common Stock",$91.17,-0.34,-0.372%,"70,840,617,918"
ILMN,"Illumina, Inc. Common Stock",$480.85,-6.40,-1.313%,"70,204,100,000"
PBR,Petroleo Brasileiro S.A.- Petrobras Common Stock,$10.70,0.24,2.294%,"69,786,476,741"
CL,Colgate-Palmolive Company Common Stock,$82.18,-0.51,-0.617%,"69,521,714,340"
MUFG,"Mitsubishi UFJ Financial Group, Inc. Common Stock",$5.35,0.09,1.711%,"68,719,214,368"
CPNG,"Coupang, Inc. Class A Common Stock",$39.65,0.82,2.112%,"68,696,012,287"
TWLO,Twilio Inc. Class A Common Stock,$393.90,3.68,0.943%,"68,024,866,560"
ICE,Intercontinental Exchange Inc. Common Stock,$120.23,1.09,0.915%,"67,661,326,724"
WBK,Westpac Banking Corporation Common Stock,$18.42,0.21,1.153%,"67,516,488,663"
TEAM,Atlassian Corporation Plc Class A Ordinary Shares,$268.85,1.23,0.46%,"67,229,106,865"
SO,Southern Company (The) Common Stock,$62.82,-0.13,-0.207%,"66,503,160,786"
ADSK,"Autodesk, Inc. Common Stock",$301.78,5.66,1.911%,"66,395,618,201"
EW,Edwards Lifesciences Corporation Common Stock,$106.05,-0.53,-0.497%,"65,924,580,201"
VMW,"Vmware, Inc. Common stock, Class A",$156.32,1.01,0.65%,"65,487,291,263"
NSC,Norfolk Southern Corporation Common Stock,$260.65,3.82,1.487%,"65,225,318,996"
BMO,Bank Of Montreal Common Stock,$98.81,1.68,1.73%,"63,962,561,099"
EQNR,Equinor ASA,$19.68,0.71,3.743%,"63,889,475,716"
APD,"Air Products and Chemicals, Inc. Common Stock",$286.72,0.77,0.269%,"63,455,224,054"
SAN,"Banco Santander, S.A. Sponsored ADR (Spain)",$3.64,0.14,4.00%,"63,017,597,261"
BIDU,"Baidu, Inc. ADS",$180.51,2.62,1.473%,"62,727,760,754"
BNTX,BioNTech SE American Depositary Share,$259.61,14.44,5.89%,"62,701,283,685"
REGN,"Regeneron Pharmaceuticals, Inc. Common Stock",$583.72,-3.52,-0.599%,"62,191,749,855"
ETN,"Eaton Corporation, PLC Ordinary Shares",$155.63,1.54,0.999%,"62,018,555,000"
BSX,Boston Scientific Corporation Common Stock,$43.58,0.79,1.846%,"61,923,295,061"
ECL,Ecolab Inc. Common Stock,$214.47,0.27,0.126%,"61,324,993,320"
WM,"Waste Management, Inc. Common Stock",$144.85,-0.32,-0.22%,"61,145,133,611"
ADI,"Analog Devices, Inc. Common Stock",$164.84,3.93,2.442%,"60,797,429,163"
IBN,ICICI Bank Limited Common Stock,$17.52,0.12,0.69%,"60,669,038,601"
D,"Dominion Energy, Inc. Common Stock",$74.72,-0.95,-1.255%,"60,263,498,461"
HUM,Humana Inc. Common Stock,$463.48,2.98,0.647%,"59,795,606,626"
DOCU,"DocuSign, Inc. Common Stock",$302.81,1.54,0.511%,"58,998,024,201"
EMR,Emerson Electric Company Common Stock,$98.27,1.14,1.174%,"58,932,519,000"
WDAY,"Workday, Inc. Class A Common Stock",$237.36,6.53,2.829%,"58,627,920,000"
DASH,"DoorDash, Inc. Class A Common Stock",$179.02,1.46,0.822%,"58,331,492,623"
